Date,Global_Revenue,UCAN_Streaming_Revenue,EMEA_Streaming_Revenue,LATM_Streaming_Revenue,APAC_Streaming_Revenue,UCAN_Members,EMEA_Members,LATM_Members,APAC_Members,Netflix_Streaming_Memberships 
31-03-2019,4520992000,2256851000,1233379000,630472000,319602000,66633000,42542000,27547000,12141000,148863000
30-06-2019,4923116000,2501199000,1319087000,677136000,349494000,66501000,44229000,27890000,12942000,151562000
30-09-2019,5244905000,2621250000,1428040000,741434000,382304000,67114000,47355000,29380000,14485000,158334000
31-12-2019,5467434000,2671908000,1562561000,746392000,418121000,67662000,51778000,31417000,16233000,167090000
31-03-2020,5767691000,2702776000,1723474000,793453000,483660000,69969000,58734000,34318000,19835000,182856000
30-06-2020,6148286000,2839670000,1892537000,785368000,569140000,72904000,61483000,36068000,22492000,192947000
30-09-2020,6435637000,2933445000,2019083000,789384000,634891000,73081000,62242000,36324000,23504000,195151000
31-12-2020,6644442000,2979505000,2137158000,788522000,684609000,73936000,66698000,37537000,25492000,203663000
31-03-2021,7163282000,3170972000,2343674000,836647000,762414000,74384000,68508000,37894000,26853000,207639000
30-06-2021,7341777000,3234643000,2400480000,860882000,799480000,73951000,68696000,38658000,27875000,209180000
30-09-2021,7483467000,3257697000,2432239000,915297000,834002000,74024000,70500000,38988000,30051000,213563000
31-12-2021,7709318000,3308788000,2523426000,964150000,870705000,75215000,74036000,39961000,32632000,221844000
31-03-2022,7867767000,3350424000,2561831000,998948000,916754000,74579000,73733000,39610000,33719000,221641000
30-06-2022,7970141000,3537863000,2457235000,1030234000,907719000,73283000,72966000,39624000,34799000,220672000
30-09-2022,7925589000,3601565000,2375814000,1023945000,889037000,73387000,73534000,39936000,36228000,223085000
31-12-2022,7852053000,3594791000,2350135000,1016846000,856711000,74296000,76729000,41699000,38023000,230747000
31-03-2023,8161503000,3608645000,2517641000,1070192000,933523000,74398000,77373000,41249000,39478000,232498000
